關鍵字,標準症狀,類型,來源,備註
溼疹,溼疹,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
異位性皮炎,異位性皮炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
其他皮膚病,其他皮膚病,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
痔瘡,痔瘡,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
手指麻,手指麻,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
手抽筋,手抽筋,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
兩手拘攣,兩手拘攣,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
腳抽筋,腳抽筋,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
腳痠軟脹,腳痠軟脹,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
腳痠軟、發脹,腳痠軟脹,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
腿無力,腿無力,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
腿軟無力,腿無力,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
腳趾麻,腳趾麻,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
手腳麻及麻痺,手腳麻及麻痺,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
四肢顫抖,四肢顫抖,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
脊椎側彎,脊椎側彎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
脊椎畸形(脊柱側彎),脊椎側彎,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
脊椎骨刺,脊椎骨刺,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
酒醉,酒醉,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
解暈針,解暈針,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
解氣血錯亂,解氣血錯亂,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
昏迷,昏迷,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
脂肪瘤,脂肪瘤,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
磨牙,磨牙,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
睡眠中咬牙,磨牙,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
疲勞,疲勞,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
解毒,解毒,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
前頭痛（眉稜骨痛、鼻骨痛、陽明頭痛）,前頭痛（眉稜骨痛、鼻骨痛、陽明頭痛）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
肩臂不能舉（肩關節周圍炎、五十肩）,肩臂不能舉（肩關節周圍炎、五十肩）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
上臂痛（肩臂痛）,上臂痛（肩臂痛）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
胸連背痛,胸連背痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
肚臍周圍痛,肚臍周圍痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
背連下腿痛,背連下腿痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
高熱,高熱,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
咳嗽（支氣管炎）,咳嗽（支氣管炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
白細胞過少,白細胞過少,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
消化性潰瘍（胃、十二指腸潰瘍）,消化性潰瘍（胃、十二指腸潰瘍）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
膽石症,膽石症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小便不利（膀胱炎、尿道炎）,小便不利（膀胱炎、尿道炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
中風昏迷症,中風昏迷症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
半身不遂（中風後遺症）,半身不遂（中風後遺症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
中風舌強不語（失語症）,中風舌強不語（失語症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
口歪眼斜,口歪眼斜,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
顏面神經抽掣（痙攣及震顫）,顏面神經抽掣（痙攣及震顫）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
目赤（結膜炎、角膜炎）,目赤（結膜炎、角膜炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
兩眼睜不開（上瞼下垂）,兩眼睜不開（上瞼下垂）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
鼻幹及流涕,鼻幹及流涕,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
流鼻血（鼻衄）,流鼻血（鼻衄）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
耳內脹,耳內脹,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
下頜骨痛（口不能張、顳頜關節紊亂症）,下頜骨痛（口不能張、顳頜關節紊亂症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
口內生瘡（口腔潰瘍）,口內生瘡（口腔潰瘍）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
喉痛（喉炎）,喉痛（喉炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
痛經,痛經,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
風疹塊（蕁麻疹）,風疹塊（蕁麻疹）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
腿軟無力,腿軟無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
一般疲勞,一般疲勞,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
三叉神經痛、震顫,三叉神經痛、震顫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
三叉神經痛和顴骨面部的震顫,三叉神經痛和顴骨面部的震顫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
上吐下瀉,上吐下瀉,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
上牙痛,上牙痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
上部發得多的蕁麻疹,上部發得多的蕁麻疹,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
下牙痛,下牙痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
下肢麻痺,下肢麻痺,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
下部發得多的蕁麻疹,下部發得多的蕁麻疹,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
不松則痛,不松則痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
不能排卵,不能排卵,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
嚴重頭暈、噁心嘔吐（如梅尼埃病）,嚴重頭暈、噁心嘔吐（如梅尼埃病）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
中耳炎流膿,中耳炎流膿,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
中風病,中風病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
中風手拘攣（痙攣）,中風手拘攣（痙攣）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
久年淋病,久年淋病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
習慣性便秘,習慣性便秘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
五官病,五官病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
五官症狀,五官症狀,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
全身發癢,全身發癢,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
全身無力,全身無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
全身骨腫,全身骨腫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
出血遷延不止,出血遷延不止,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
前肚子很痛，大便完了馬上就舒服了,前肚子很痛，大便完了馬上就舒服了,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
前臂痛,前臂痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
半身不遂,半身不遂,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
半面神經麻痺、四肢無力,半面神經麻痺、四肢無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
反胃（倒食症）,反胃（倒食症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
發冷,發冷,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
發熱無汗,發熱無汗,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
發高燒,發高燒,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
口眼歪斜,口眼歪斜,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
後腿筋痛,後腿筋痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
咳喘,咳喘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
咳嗽及氣喘,咳嗽及氣喘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
咳嗽氣喘,咳嗽氣喘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
哮喘,哮喘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
喉嚨不對勁出怪聲,喉嚨不對勁出怪聲,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
喉嚨痛,喉嚨痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
嘴巴歪斜,嘴巴歪斜,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
四肢發抖（帕金森病）,四肢發抖（帕金森病）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
四肢無力,四肢無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
四肢神經麻痺,四肢神經麻痺,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
四肢骨腫,四肢骨腫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
外感症,外感症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
多種頭暈,多種頭暈,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
大人流口水,大人流口水,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
大腿不舒服,大腿不舒服,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
大腿痛,大腿痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
大腿痠痛,大腿痠痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
天一亮就腹瀉,天一亮就腹瀉,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
失眠症,失眠症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
頭昏眼花,頭昏眼花,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
頭暈、血壓高,頭暈、血壓高,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
頭暈眼花,頭暈眼花,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
頭痛,頭痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
頭痛惡心欲嘔,頭痛惡心欲嘔,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
婦科、泌尿系疾病,婦科、泌尿系疾病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
婦科病,婦科病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
婦科病變,婦科病變,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
婦科病，尤其是子宮痛,婦科病，尤其是子宮痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
子宮炎（陰道炎）,子宮炎（陰道炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
寒邪致痛,寒邪致痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
壽瘡,壽瘡,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小便痛,小便痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小便癃閉（氣淋）,小便癃閉（氣淋）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小便過多,小便過多,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小兒發燒,小兒發燒,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小兒夜哭,小兒夜哭,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
"小兒夜夢多, 夢驚","小兒夜夢多, 夢驚",抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小兒驚風,小兒驚風,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小兒抽動穢語綜合徵,小兒抽動穢語綜合徵,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小兒氣喘,小兒氣喘,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小孩流口水,小孩流口水,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小腿發脹,小腿發脹,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
小腿脹疼（痛）,小腿脹疼（痛）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
尿少,尿少,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
尿瀦留,尿瀦留,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
左肩膀痛,左肩膀痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心兩側痛,心兩側痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心口痛,心口痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心驚,心驚,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟病、血管硬化,心臟病、血管硬化,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟病引起之頭痛,心臟病引起之頭痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟的病,心臟的病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟問題,心臟問題,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟麻痺、心肌梗死、心跳過速或心驚心悸,心臟麻痺、心肌梗死、心跳過速或心驚心悸,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心臟麻痺（急性心肌梗死）,心臟麻痺（急性心肌梗死）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心跳,心跳,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心跳加胸悶,心跳加胸悶,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心跳胸悶,心跳胸悶,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
心跳過速,心跳過速,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
怕光,怕光,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急性心臟麻痺,急性心臟麻痺,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急性肝炎,急性肝炎,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急性胃痛,急性胃痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急性腰扭傷,急性腰扭傷,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急性腰痛,急性腰痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
急慢性胃痛,急慢性胃痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
性病之淋病,性病之淋病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
感冒發燒諸症,感冒發燒諸症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
感冒頭痛,感冒頭痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
慢性肝炎,慢性肝炎,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
慢性胃病、久年胃病,慢性胃病、久年胃病,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
慢性胃痛,慢性胃痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手前臂痛,手前臂痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
"手拘攣, 四肢發抖, 帕金森病","手拘攣, 四肢發抖, 帕金森病",抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手指麻（手麻）,手指麻（手麻）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手痛不能握物,手痛不能握物,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手腳血管硬化,手腳血管硬化,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手腕手背痛,手腕手背痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手臂痛不能握物,手臂痛不能握物,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手足麻痺,手足麻痺,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
手麻、腳麻,手麻、腳麻,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
打嗝,打嗝,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
抬腿無力,抬腿無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
抬膝無力,抬膝無力,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
支氣管炎,支氣管炎,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
夢遺,夢遺,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
歡骨疼痛,歡骨疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
死胎不下,死胎不下,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣喘（發作時間與心包經有關）,氣喘（發作時間與心包經有關）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣喘（發作時間與膽經有關）,氣喘（發作時間與膽經有關）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣喘（肺相關病症）,氣喘（肺相關病症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣滯疼痛,氣滯疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣虛疼痛,氣虛疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
氣血錯亂,氣血錯亂,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
水腫,水腫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
治酒醉急症,治酒醉急症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
流眼淚、出汗多、鼻涕多,流眼淚、出汗多、鼻涕多,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
流鼻血及鼻塞,流鼻血及鼻塞,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
浮腫,浮腫,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
消化不良,消化不良,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
溼熱黃疸,溼熱黃疸,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
滑精,滑精,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
濕邪致痛,濕邪致痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
熱邪致痛,熱邪致痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
牙齒酸,牙齒酸,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
特瘡,特瘡,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
狐臭,狐臭,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
"疝氣, 陽痿","疝氣, 陽痿",抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
疲勞過度,疲勞過度,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
疼痛,疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
癢症（如蕁麻疹）,癢症（如蕁麻疹）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
痛症,痛症,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
痰飲疼痛,痰飲疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
瘀血疼痛,瘀血疼痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
白內障,白內障,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
白細胞過多,白細胞過多,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
皮膚病變或神經感覺差,皮膚病變或神經感覺差,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
皮膚癢,皮膚癢,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
目乾澀（千眼症）,目乾澀（千眼症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
真心痛（心絞痛）,真心痛（心絞痛）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
真性紅細胞過多,真性紅細胞過多,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼發紅,眼發紅,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼發黃,眼發黃,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼斜嘴歪,眼斜嘴歪,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼球歪斜及複視（視一為二）,眼球歪斜及複視（視一為二）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼球突出,眼球突出,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼病（青光眼、飛蚊症）,眼病（青光眼、飛蚊症）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼皮睜不開,眼皮睜不開,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼皮跳動的病變,眼皮跳動的病變,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼睛乾澀,眼睛乾澀,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼睛痛,眼睛痛,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼紅腫及頭風,眼紅腫及頭風,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼角痛（角膜炎）,眼角痛（角膜炎）,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
眼角紅,眼角紅,抽取詞,董氏奇穴治療析要,待人工映射到目錄標準詞；暫以自身保留搜尋命中
