目錄排序,目錄症狀,匹配標準症狀,匹配狀態,章,節,來源行
82,膽石症,膽結石,matched,內科,第四節肝膽病,4545
83,脾腫大,脾腫大,matched,內科,第四節肝膽病,4588
84,腎炎,腎炎,matched,內科,第五節腎、膀胱病,4627
85,四肢浮腫,四肢浮腫,matched,內科,第五節腎、膀胱病,
86,腎結石,腎結石,matched,內科,第五節腎、膀胱病,4740
87,膀胱結石,膀胱結石,matched,內科,第五節腎、膀胱病,4774
88,尿道結石,尿道結石,matched,內科,第五節腎、膀胱病,4807
89,小便癃閉(尿滯留),小便癃閉、尿滯留,matched,內科,第五節腎、膀胱病,4837
90,小便不利(膀胱炎、尿道炎),小便不利、膀胱炎、尿道炎,matched,內科,第五節腎、膀胱病,4878
91,尿意頻數,尿意頻數,matched,內科,第五節腎、膀胱病,
92,淋病,淋病,matched,內科,第五節腎、膀胱病,
93,小便出血,小便出血,matched,內科,第五節腎、膀胱病,4999
94,急性腹瀉,急性腹瀉,matched,內科,第六節大小腸病,5030
95,慢性腹瀉,慢性腹瀉,matched,內科,第六節大小腸病,
96,小腹脹,小腹脹,matched,內科,第六節大小腸病,5128
97,便秘,便秘,matched,內科,第六節大小腸病,5175
98,闌尾炎,闌尾炎,matched,內科,第六節大小腸病,5207
99,小腸疝氣,疝氣,matched,內科,第六節大小腸病,5242
100,睪丸炎,睪丸炎,matched,內科,第七節前後陰病,
101,遺精,遺精,matched,內科,第七節前後陰病,5306
102,陽痿、早洩(男子性功能障礙),陽痿、早洩,matched,內科,第七節前後陰病,5335
103,失眠症,失眠,matched,內科,第八節神志病,
104,癲癇,癲癇,matched,內科,第八節神志病,
105,精神病,精神病,matched,內科,第八節神志病,
106,高血壓,高血壓,matched,內科,第九節雜症,5505
107,中風昏迷症,中風,matched,內科,第九節雜症,5566
108,半身不遂(中風後遺症),中風後遺症,matched,內科,第九節雜症,5589
109,中風舌強不語(失語症),中風失語症,matched,內科,第九節雜症,5661
110,中風手拘攣(痙攣),中風痙攣,matched,內科,第九節雜症,
111,四肢發抖(帕金森症),帕金森症,matched,內科,第九節雜症,
112,糖尿病,糖尿病,matched,內科,第九節雜症,5762
113,暈眩,眩暈,matched,頭面頸,第一節頭部,5807
114,神經衰弱,神經衰弱,matched,頭面頸,第一節頭部,
115,腦膜炎,腦膜炎,matched,頭面頸,第一節頭部,5906
116,腦瘤,腦瘤,matched,頭面頸,第一節頭部,5935
117,腦積水,腦積水,matched,頭面頸,第一節頭部,5961
118,口歪眼斜,面神經麻痹、面癱（Bell's palsy）,matched,頭面頸,第二節顏面疾病,5987
119,面麻,面麻,matched,頭面頸,第二節顏面疾病,6075
120,顏面神經抽掣(痙攣及震顫),顏面神經抽搐,matched,頭面頸,第二節顏面疾病,6088
121,瘰癧,瘰癧,matched,頭面頸,第三節頸項疾病,
122,甲狀腺腫大,甲狀腺腫大,matched,頭面頸,第三節頸項疾病,
123,甲狀腺眼突,甲狀腺眼突,matched,頭面頸,第三節頸項疾病,
124,頸項皮膚病,頸項皮膚病,matched,頭面頸,第三節頸項疾病,
125,痄腮(腮腺炎),痄腮(腮腺炎),matched,頭面頸,第三節頸項疾病,
126,視力模糊,視力模糊,matched,五官科,第一節眼病,6244
127,麥粒腫,麥粒腫,matched,五官科,第一節眼病,6274
128,目赤(結膜炎、角膜炎),結膜炎、角膜炎,matched,五官科,第一節眼病,6298
129,目乾澀(乾眼症),乾眼,matched,五官科,第一節眼病,6369
130,溢淚(迎風流淚),溢淚,matched,五官科,第一節眼病,6390
131,兩眼睜不開(上瞼下垂),眼瞼下垂,matched,五官科,第一節眼病,6423
132,散光,散光,matched,五官科,第一節眼病,6468
133,眼球歪斜及複視,眼球歪斜、複視,matched,五官科,第一節眼病,
134,青光眼,青光眼,matched,五官科,第一節眼病,
135,飛蚊症,飛蚊症,matched,五官科,第一節眼病,6541
136,其他眼病,其他眼病,matched,五官科,第一節眼病,6559
137,鼻乾及流涕,鼻乾及流涕,matched,五官科,第二節鼻病,6594
138,鼻塞,鼻塞,matched,五官科,第二節鼻病,6609
139,過敏性鼻炎,過敏性鼻炎,matched,五官科,第二節鼻病,6668
140,鼻蓄膿症(鼻淵、鼻涕倒流),鼻淵、鼻涕倒流,matched,五官科,第二節鼻病,6699
141,酒渣鼻,酒渣鼻,matched,五官科,第二節鼻病,6719
142,流鼻血(鼻衄),流鼻血、鼻衄,matched,五官科,第二節鼻病,6730
143,中耳炎,中耳炎,matched,五官科,第三節耳病,6769
144,耳內脹,耳脹,matched,五官科,第三節耳病,6788
145,耳鳴,耳鳴,matched,五官科,第三節耳病,6802
146,聾啞,聾啞,matched,五官科,第三節耳病,6850
147,下頜骨痛(口不能張、顳頜關節紊亂症),顳頜關節紊亂（TMJ、TMD、temporomandibular joint disorder、temporomandibular disorders）,matched,五官科,第四節口齒疾病,6872
148,舌下腫,舌下腫,matched,五官科,第四節口齒疾病,6915
149,口內生瘡(口腔潰瘍),口瘡,matched,五官科,第四節口齒疾病,6930
150,牙痛,牙痛,matched,五官科,第四節口齒疾病,6967
151,喉痛(喉炎),喉痛、喉炎,matched,五官科,第五節咽喉疾病,7031
152,魚骨刺喉,魚骨刺喉,matched,五官科,第五節咽喉疾病,7088
153,梅核氣,梅核氣,matched,五官科,第五節咽喉疾病,7118
154,失音,失音,matched,五官科,第五節咽喉疾病,7137
155,痛經,經痛,matched,婦兒科,第一節婦科病,7176
156,崩漏,崩漏,matched,婦兒科,第一節婦科病,7228
157,月經不調及閉經,月經不調,matched,婦兒科,第一節婦科病,7255
158,赤白帶,赤白帶,matched,婦兒科,第一節婦科病,7316
159,陰腫,陰腫,matched,婦兒科,第一節婦科病,7362
160,子宮炎(陰道炎),子宮炎、陰道炎,matched,婦兒科,第一節婦科病,
161,子宮肌瘤,子宮肌瘤,matched,婦兒科,第一節婦科病,7423
162,輸卵管不通,輸卵管不通,matched,婦兒科,第一節婦科病,
163,久年不孕,久年不孕,matched,婦兒科,第一節婦科病,7494
164,難產,難產,matched,婦兒科,第一節婦科病,7566
165,兒科,兒科,matched,婦兒科,第二節兒科,
166,皮膚病,皮膚病,matched,皮膚外科,皮膚外科,7653
167,皮膚敏感,皮膚敏感,matched,皮膚外科,皮膚外科,7680
168,牛皮癬,牛皮癬,matched,皮膚外科,皮膚外科,7703
169,青春痘,青春痘,matched,皮膚外科,皮膚外科,7734
170,風疹塊(蕁麻疹),蕁麻疹、風疹,matched,皮膚外科,皮膚外科,7756
171,溼疹,溼疹,matched,皮膚外科,皮膚外科,7793
172,異位性皮炎,異位性皮炎,matched,皮膚外科,皮膚外科,7834
173,其他皮膚病,其他皮膚病,matched,皮膚外科,皮膚外科,7864
174,痔瘡,痔瘡,matched,皮膚外科,皮膚外科,7892
175,手指麻,手指麻,matched,其他疾病,第一節四肢軀幹,
176,中指麻,,not_in_standard_terms,其他疾病,第一節四肢軀幹,8015
177,手抽筋,手抽筋,matched,其他疾病,第一節四肢軀幹,8028
178,兩手拘攣,兩手拘攣,matched,其他疾病,第一節四肢軀幹,8051
179,腳抽筋,腳抽筋,matched,其他疾病,第一節四肢軀幹,
180,腳痠軟、發脹,腳痠軟脹,matched,其他疾病,第一節四肢軀幹,
181,腿軟無力,腿無力,matched,其他疾病,第一節四肢軀幹,8146
182,腿麻,,not_in_standard_terms,其他疾病,第一節四肢軀幹,8165
183,腳趾麻,腳趾麻,matched,其他疾病,第一節四肢軀幹,8195
184,手腳麻及麻痺,手腳麻及麻痺,matched,其他疾病,第一節四肢軀幹,8215
185,四肢顫抖,四肢顫抖,matched,其他疾病,第一節四肢軀幹,8241
186,四肢其他,,not_in_standard_terms,其他疾病,第一節四肢軀幹,8249
187,脊椎畸形(脊柱側彎),脊椎側彎,matched,其他疾病,第二節腰背病,
188,脊椎骨刺,脊椎骨刺,matched,其他疾病,第二節腰背病,8335
189,酒醉,酒醉,matched,其他疾病,第三節其他,
190,解暈針,解暈針,matched,其他疾病,第三節其他,8408
191,解氣血錯亂,解氣血錯亂,matched,其他疾病,第三節其他,8433
192,昏迷,昏迷,matched,其他疾病,第三節其他,8458
193,脂肪瘤,脂肪瘤,matched,其他疾病,第三節其他,8478
194,睡眠中咬牙,磨牙,matched,其他疾病,第三節其他,8518
195,疲勞,疲勞,matched,其他疾病,第三節其他,
196,解毒,解毒,matched,其他疾病,第三節其他,8587
