穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
火腑海穴,三三,三三部位,前臂穴位,圖3-10,在火山穴後兩寸，按之肉起，銳肉之端。；手撫胸取穴，在火山穴後二寸處取之。；在火山穴後兩寸，按之肉起，銳肉之端。轉肘取穴與手三里位 置相合，本穴以三焦經定位，向內旋臂，從陽明經取穴。,針深五分至一寸。 運用：治貧血、頭昏、眼花、腿痠、疲勞過度時， 下針十分鐘後取針，改用墊灸三壯至五壯（不需下 針，僅灸三至五壯亦可），隔日一灸，灸上三個月， 可延年益壽。灸至第五、第十、第十五次，下灸七 壯至九壯（大壯），即每月大壯三次，小壯十二次。,咳嗽，氣喘，感冒，鼻炎，坐骨神經痛，腿痠，腰痠，貧血，頭暈，眼花，疲勞過度,網球肘、肩背痛及臂痛。,,images/圖3-10_火腑海穴.jpg,notes/火腑海穴.md,94
手千金穴,三三,三三部位,前臂穴位,圖3-12,尺骨外側，手五金穴後一寸五分。；手撫胸取穴，在尺骨外側，距豌豆骨八寸，手五金穴後一寸五分處 取之。；手撫胸取穴，在手少陽三焦經與 手太陽小腸經之間。手掌外翻，筋下骨前取穴。 針深五分至八分。,針深三分至五分。 運用：手五金與手千金兩穴同用，唯禁忌雙手 同時取穴。,,常用治少陽經走向之坐骨神經痛，及小腿脹痛痠麻，手千金單獨 治手臂瘡瘍初起特效。,,images/圖3-12_手千金穴.jpg,notes/手千金穴.md,100
腸門穴,三三,三三部位,前臂穴位,圖3-13,在尺骨之內側，距豌豆骨三寸。；手撫胸取穴，在尺骨之內側與筋腱之間， 距豌豆骨三寸處是穴。；在尺骨之內側，距腕橫紋後三寸。,針深三至五分。,肝炎之腸炎，頭昏眼花,治腹瀉。,,images/圖3-13_腸門穴.jpg,notes/腸門穴.md,100
肝門穴,三三,三三部位,前臂穴位,圖3-14,在尺骨之內側，距豌豆骨六寸。；手撫胸取穴，當尺骨之內側中部，距豌豆 六寸處取之。；在手太陽小腸經上，從前臂手腕 橫紋至肘尖之中點取穴。 楊維傑新肝門穴：在手太陽小腸經，從前臂手 圖3-14 肝門穴 腕橫紋至肘尖之中點，貼骨取穴。,針深三分至五分，針下後立止肝痛，將針 向右旋轉，胸悶即解；將針向左旋轉，腸痛亦除。 運用：腸門穴與肝門穴同時使用，可治肝炎引 起之腸炎，單用左手穴，禁忌雙手同時取穴。,急性肝炎(特效),能治小腿抽筋。,,images/圖3-14_肝門穴.jpg,notes/肝門穴.md,100
心門穴,三三,三三部位,前臂穴位,圖3-15,在尺骨鷹嘴突起之上端，去肘尖一寸五分陷中。；手撫胸取穴，在下尺骨內側陷處，距肘尖 一寸五分是穴。；心門穴約在小腸經上，在小腸合 穴附近，去肘尖尺骨鷹嘴突起處一寸五分。 楊維傑新心門穴：距尺骨鷹嘴突起處之肘尖二 寸骨下緣，貼骨取穴。,針深四至七分。 運用：禁忌雙手用穴。,心臟炎，心跳胸悶，嘔吐，肝霍亂，董師補充：大腿彎前側痛,大腿內側痛（含腹股溝）、坐骨神經痛。治尾椎痛甚效。善於治 膝部骨刺及退化性關節炎。還能治眼皮及眼周震顫。,,images/圖3-15_心門穴.jpg,notes/心門穴.md,100
人士穴,三三,三三部位,前臂穴位,圖3-16,在前臂橈骨裡側，去腕橫紋四寸。 101；手平伸、掌心側向上，從腕部橫紋上行四寸，當前 臂橈骨內側是穴。；去腕橫紋四寸，在肺經之上。,針深五分至一寸。 運用：針深五分治氣喘，治手掌及手指痛、肩臂痛、背痛 （患右用左穴，患左用右穴）。針深一寸治心臟病、心跳。,,,,images/圖3-16_人士穴.jpg,notes/人士穴.md,101
地士穴,三三,三三部位,前臂穴位,圖3-17,在前臂橈骨中部內緣，距人士穴三寸。；手平伸、掌向上，去腕橫紋七寸，即距人士穴後三寸，當前臂橈骨內側 是穴位。 102；在肺經之上，距腕橫紋七寸。,針深一寸治氣喘、感冒、頭痛及腎虧，針深一寸五 分治心臟病。,氣喘，感冒，頭疼，腎虧，心臟病,本穴指出針之深淺，針淺治淺，治氣喘、感冒、頭痛及腎虧，針深治深，治心臟病。 本穴在肺經上，穴近肺經郄穴孔最，治療氣喘、感冒當然有效。![](images/0c0cd4b53d4e67c6d87fa8b14370d8072186edfa82943e9cb6017d1dc8b3a590.jpg)<details><summary>natural_image</summary>Human forearm…,,images/圖3-17_地士穴.jpg,notes/地士穴.md,102
天士穴,三三,三三部位,前臂穴位,圖3-18,在前臂橈骨之後部內側，距地士穴三寸。；在前臂橈骨之後部內側，距地士穴三寸處是穴。；在肺經路徑上，距地士穴三寸，距腕橫紋 十寸。,針深一寸五分。 運用：天士、地士、人士三穴配靈骨穴，雙手同時用針為治哮喘之特效針。 103,氣喘，鼻炎，臂痛，感冒，胸部發脹,人士、地士、天士，簡稱三士穴，位置均在肺經上，因此治療呼吸器官病效果極佳，人士在太淵上四寸，地士則與孔最穴位置相符，孔最為肺經郄穴，治哮喘療效本佳，配人士、天士倒馬效果更好。 三士穴配水金或水通療效更好。,,images/圖3-18_天士穴.jpg,notes/天士穴.md,103
曲陵穴,三三,三三部位,前臂穴位,圖3-19,在肘窩橫紋上，試摸有一大筋，在筋之外側。；平手取穴，在肘窩橫紋上，在大筋之外側以大指按下，肘伸屈時有一大 凹陷處是穴。；平手取穴，在肘窩橫紋上，有一大筋，在大 筋之外側，屈肘時有一大凹陷處是穴，位置同肺經尺澤。取 穴時將肘稍彎向上，可見大筋隆起，貼筋取穴。 楊維傑新曲陵穴：屈肘，在肘窩橫紋上，有一大筋，在大 筋之外側，緊貼筋旁針之，而非凹陷處。由於系貼筋取之， 必須屈肘，筋鼓起如山陵，貼筋取之，更合曲陵之義。,針深三分至五分。 運用：用三樓針刺曲陵穴內側之動脈血管，使其出血，可治陽霍亂，肝霍亂， 心臟麻痺。,抽筋，陽霍亂，氣喘，肘關節炎，心跳,治氣喘、咳嗽、扁桃體炎、肺炎、發熱、咽喉 炎、遺尿、尿意頻數（配腎關）、癃閉。閃腰岔氣（配復溜穴並 用效果更佳）、筋攣拘急之病，治肩痺痛（五十肩）、半身不 遂、腰痛、膝關節痛、膝不能下蹲。 貼筋而刺，治療筋病，對於肢體之拘攣，牽扯，弛緩，強 圖3-19 曲陵六 直等均有療效。 刺血治急性胃炎之吐瀉，腹痛亦甚效。 刺血還能治狂躁型精神病、降血壓。點刺出血治療胸悶、胸痛、呼吸困難，心 髒病變（心臟麻痺…,,images/圖3-19_曲陵穴.jpg,notes/曲陵穴.md,105
五穴,三三,三三部位,前臂穴位,,在尺骨外側，距豌豆骨六寸五分。；針法：針深三分至五分。,,坐骨神經痛，腹痛，小腿發脹，腳痛，腳麻,本穴距豌豆骨六寸五分，即火山穴外開五分處是穴。如此即與火山穴平行，火山穴從手腕橫紋中央直後取之，火串穴在手背腕橫紋後三寸，火陵穴在火串穴後兩寸。火山在火陵穴後一寸五分。如此火山在手背腕橫紋後六寸五分，此穴則以豌豆骨後取之，則董師之距豌豆骨幾寸與距手腕橫紋幾寸類同。可見老師指的豌豆骨與手背腕橫紋在一條直線。 應用及原理參見“千穴”。![](images/8ede0f50587942828d8e81d…,,,notes/五穴.md,
千穴,三三,三三部位,前臂穴位,,尺骨外側，手五金穴後一寸五分。；針法：針深三分至五分。；運用：手五金與手千金兩穴同用，唯禁忌雙手同時取穴。,,同手五金穴,【維傑新用】常用治少陽經走向之坐骨神經痛，及小腿脹痛痠麻，手千金單獨治手臂瘡瘍初起特效。 手五金、手千金穴之位置約距三焦經走向外開五分，在手少陽三焦經與手太陽小腸經之間。手五金、手千金一般均倒馬運用。 餘常用治少陽經走向之坐骨神經痛，及小腿脹痛痠麻。,禁忌雙手同時取穴,,notes/千穴.md,
人穴,三三,三三部位,前臂穴位,,在前臂橈骨裡側，去腕橫紋四寸。；針法：針深五分至一寸。；運用：針深五分治氣喘，治手掌及手指痛、肩臂痛、背痛（患右用左穴，患左用右穴)。針深一寸治心臟病、心跳。,,氣喘，手掌及手指痛，肩臂痛，背痛,本穴在肺經上，故能治氣喘，三士穴中僅本穴指出能治手指痛、肩臂痛及背痛，蓋本穴在倒馬針之全息中偏於上焦，故治療之病偏上。 本穴再度指出針淺治近，治氣喘、治手掌及手指痛、肩臂痛、背痛。針深治遠，治心臟病、心跳。蓋心臟較肺離手略遠。而且肺主皮膚較淺層，心主血脈較深層。又指出疼痛以左治右，以右治左，董老師治痛一般以對側（健側)為主。,,,notes/人穴.md,
分金穴,四四,四四部位,後臂穴位,圖4-2,在後臂肱骨之前側，距肘橫紋一寸五分。；手撫胸取穴，當後臂肱骨之下部中央，去肘窩橫紋一寸五分處是穴。；分金穴位於肺經上，在俠白下三寸半，距尺澤一寸半。,針深五分至一寸。,感冒，鼻炎及喉炎之特效針,可治咳嗽及鼻蓄膿，與曲陵倒馬，療效尤佳。 108 圖4-2 分金穴,,images/圖4-2_分金穴.jpg,notes/分金穴.md,108
後椎穴,四四,四四部位,後臂穴位,圖4-3,在後臂肱骨之外側，距肘橫紋二寸五分。；手臂下垂，在後臂肱骨之外側，距肘橫紋二寸五分是穴。；後椎穴位於三焦經上，約當清冷淵穴上五分處。,針深三分至五分。,脊椎骨脫臼，脊椎骨脹痛，腎臟炎，腰痛,"位居三焦經上,基於腎與三焦通之原理,治療與腎有關之脊椎骨脫臼，脊![](images/105df4cf5efc1d256eb4d0a1945587b4ab41e4c6c743994982f1cc8f994e97ef.jpg)<details><summary>text_image</summary>Anatomical diagram of a human shoulder with red da…",,images/圖4-3_後椎穴.jpg,notes/後椎穴.md,110
首英穴,四四,四四部位,後臂穴位,圖4-4,當後臂肱骨之外側，距肘橫紋四寸五分。；手臂下垂，在後臂肱骨之外側，距後椎穴二寸處是穴。；首英穴及富頂穴皆位於三焦經上，首英穴約當消濼下五分，富 頂穴約當消濼上二寸，臑會穴下一寸。,針深三分至五分。 運用：後椎、首英兩穴通常同時用針（即所謂回馬針），效力迅速而佳。,,,,images/圖4-4_首英穴.jpg,notes/首英穴.md,110
圖4-4 首英穴,四四,四四部位,後臂穴位,,當後臂肱骨之外側，去首英穴 二寸五分，距肘橫紋七寸。；手臂下垂，在後臂肱骨之外側， 距首英穴上二寸五分。；首英穴及富頂穴皆位於 三焦經上，首英穴約當消濼下五分，富頂 圖4-5 富頂穴 穴約當消濼上二寸，臑會穴下一寸。,針深三至五分，針淺扎治疲勞、 肝弱，針深扎治頭痛、頭昏及血壓高。,,,,,notes/圖4-4首英穴.md,114
後枝穴,四四,四四部位,後臂穴位,圖4-6,當肩中與肘之直線上，距富頂穴一寸，離肘橫紋八寸。；手臂下垂，在後臂肱骨之外側， 距富頂穴一寸處是穴。；後枝穴位置約當三焦經 消濼上二寸，約與臑會之位置相當。 圖4-6,針深三分至七分。 運用：富頂、後枝兩穴同時下針，可治 頸項疼痛扭轉不靈及面部麻痺。,血壓高，頭暈，頭痛，殺菌，皮膚病，血管硬化,本穴主治血壓高、頭暈、頭痛，實則皆與肝腎陰虛有關。滋陰補腎為根本療法。 富頂、後枝兩穴皆能治肝及調整血液迴圈，皆能治肝之血壓高、頭暈、頭痛、疲勞等。兩穴同時下針，可治頸項疼痛、扭轉不靈及面部麻痺。頸項疼痛、扭轉不靈多與血壓高有關。,,images/圖4-6_後枝穴.jpg,notes/後枝穴.md,114
肩中穴,四四,四四部位,後臂穴位,圖4-7,當後臂肱骨之外側，去肩骨縫 二寸五分。；手臂下垂，自肩骨向下二寸半， 肩中央是穴。；肩中穴位於肩臂三角肌 之正中央，去肩骨縫三寸。 圖4-7 肩中穴,針深五分至一寸。 運用：左肩痛扎右穴；右肩痛扎左穴。,膝蓋痛（特效針），皮膚病（頸項皮膚病有特效），小兒麻痺，半身不遂，心跳，血管硬化，鼻出血，肩痛,治肌萎縮及皮膚病甚效，治下肢無力、半身不遂亦佳。,,images/圖4-7_肩中穴.jpg,notes/肩中穴.md,114
背面穴,四四,四四部位,後臂穴位,圖4-8,在肩骨縫之中央、舉臂時有空陷處。；舉臂時，肩骨連線縫之空陷處中央取穴。；在肩骨縫之中央，舉臂時有空陷處。舉臂取之，穴在後臂偏於 後背，舉之則在最上面，面向上。,針深三分至五分。 運用：用三稜針可治全身疲勞，兩腿發酸，嘔吐，肝霍亂，腸霍亂，陰陽霍亂。,腹部發悶，發音無力,本穴與肩髃穴相符或相近，肩髃穴原有調理肺氣之效；穴在大腸經上，大腸與肺相表裡，本穴治腹部發悶及發音無力皆系調理肺氣之功。 背面穴位置相當於大腸經之肩髓穴，一說後一寸，用三稜針點刺在肩髃穴至其後一寸之周邊，點刺出血即可，不必拘泥穴位。運用三稜針點刺可治療全身疲勞，兩腿發酸，嘔吐，肝霍亂，腸霍亂，陰陽霍亂各症，確有卓效。,,images/圖4-8_背面穴.jpg,notes/背面穴.md,114
人宗穴,四四,四四部位,後臂穴位,圖4-9,在後臂肱骨內緣與肱二頭肌間之陷處，去肘窩橫紋三寸。；屈肘測量，以手拱胸，在後臂肱骨內緣與肱二頭肌間之陷處，去肘窩橫 紋三寸是穴。；本穴先在肺經定位，取穴時上臂稍向內轉，貼筋取穴，實際是在大腸 115 經取穴。,用毫針，針深五分治感冒氣喘，針深八分治臂腫，針深一寸二分治肝、 膽、脾病。,腳痛，手痛，肘腫痛難動，面黃(膽病)四肢浮腫，脾腫大，感冒，氣喘,人宗穴位置內層與大腸經之手五里穴相符，古人視手五里為禁針穴，唯據經驗刺之其效尚佳，亦無副作用，所謂禁刺，恐系古人用針太粗之故，有傷及動脈及神經之虞，因此董師亦告誡“扎針部位應準確”。 穴在肺經上，故治感冒氣喘。取穴時上臂稍向內轉，實際是在大腸經取穴。,下針時，偏外傷肱骨，偏裡傷肱二頭肌，扎針部位應準確。,images/圖4-9_人宗穴.jpg,notes/人宗穴.md,115
地宗穴,四四,四四部位,後臂穴位,圖4-10,在人宗穴上三寸處，距肘窩橫紋六寸。；屆肘測量，以手拱胸，當後臂肱骨之中部內緣與肱二頭肌間之陷處，亦 即人宗穴上三寸是穴。；本穴先在肺經定位，取穴時 上臂稍向內轉，貼筋取穴，即成“以手拱胸”取 穴，實際是在大腸經取穴。,針深一寸治輕病，針深二寸治重病，兩臂之穴同時下針。,能使陽證起死回生，心臟病及血管硬化,"本穴穴下有橈動脈、肱動脈，能調整血液迴圈，強心復甦，效同火硬，道理相同，所謂“以脈治脈”也,亦“以脈治心”也。 針深一寸治輕病，治心臟病及血管硬化，針深二寸治重病，兩臂之穴同時下針。所謂重病者，指能使陽證起死回生，當是心臟麻痺、心絞痛一類重病。",下針時，偏外傷肱骨，偏裡傷肱二頭肌，扎針部位應特別準確。,images/圖4-10_地宗穴.jpg,notes/地宗穴.md,16
圖4-10 地宗穴,四四,四四部位,後臂穴位,,在後臂肱骨內緣與肱二頭肌後部間 之陷處，距地宗穴三寸，距肘窩橫紋九寸。；屈肘測量，以手拱胸，當後臂肱骨內緣 與肱二頭肌後部間之陷處，距地宗穴三寸處是穴。；本穴先在肺經定位，取穴時上 圖4-11 天宗穴 臂稍向內轉，屈肘以手拱胸，貼筋取穴，實際是在大腸經取穴。,針深一寸至一寸五分。,,,下針時，偏外傷肱骨，偏裡傷二頭肌， 取穴必須準確。,,notes/圖4-10地宗穴.md,122
雲白穴,四四,四四部位,後臂穴位,圖4-12,在肩尖前約二寸，背面穴向胸方 向斜下開二寸。；垂手取穴，當肩關節前方，骨縫 去肩尖約二寸許處是穴，亦即背面穴向胸 方向斜下開二寸。；以肩中穴定位，在肩中穴 前一寸，再直上一寸之位置。 118 圖4-12 雲白穴,針深三分至五分。,,配肩中治小腿無力及脹痛。,,images/圖4-12_雲白穴.jpg,notes/雲白穴.md,122
李白穴,四四,四四部位,後臂穴位,圖4-13,在雲白穴稍向外斜下二寸。；在臂外側，從雲白穴稍向外斜下二寸處是穴。；在肩中穴前一寸二分，再下一寸處。,針深三分至五分。 。 炒。 圖 4-13 李白穴,狐臭，腳痛，小腿痛，小兒麻痺,李白、天宗、雲白、肩中、上曲皆在肩部肌肉肥厚處，以肉治肉，治 肌萎縮甚效，皆治小兒麻痺。,,images/圖4-13_李白穴.jpg,notes/李白穴.md,122
支通穴,四四,四四部位,後臂穴位,圖4-14,在上臂後側，首英穴向後橫開一寸。；自肩後側直下，去肘橫紋四寸五 分，即首英穴向後橫開一寸。；在上臂後側，首英穴向後 往小腸經橫開一寸。,針深六分至一寸。,高血壓，血管硬化，頭暈，疲勞，腰痠,,貼近肱骨後緣扎針。,images/圖4-14_支通穴.jpg,notes/支通穴.md,122
落通穴,四四,四四部位,後臂穴位,圖4-15,在上臂後側，即富頂穴向後橫開一寸。；自肩端後側直下，距肘橫紋上七寸，即富頂穴向後橫開一寸是穴。；在上臂後側，富頂穴向後橫開一寸，腋窩紋下二寸之位置。,針深六分至一寸。 圖4-15 落通穴,血壓高，血管硬化，頭暈，疲勞，四肢無力，腰痠,支通、落通皆治血壓高。 穴貼肱骨後緣扎針，又“以骨治骨”對應於腎，治腎虧之病。,,images/圖4-15_落通穴.jpg,notes/落通穴.md,122
下曲穴,四四,四四部位,後臂穴位,圖4-16,在上臂後側，即後枝穴後開一寸。；在肩端後直下，即後枝穴向後橫 開一寸是穴。；在上臂後側，即後枝穴後 開一寸，距腋窩之腋紋下一寸。 圖4-16 下曲穴,針深六分至一寸。,血壓高，坐骨神經痛（肺與肝兩種機能不健全所引起者），半身不遂，小兒麻痺，神經失靈及神經失靈而引起之骨頭脫節症,,,images/圖4-16_下曲穴.jpg,notes/下曲穴.md,122
上曲穴,四四,四四部位,後臂穴位,圖4-17,在上臂後側，肩中穴後開一寸。；在上臂後側，即肩中央向後橫開一寸是穴。；在上臂後側，即後枝穴後 開一寸。距腋窩之腋紋上一寸。,針深六分至一寸五分。治左臂取右穴；治右臂用左穴。 運用：用三稜針出血治肝硬化及肝炎。,小兒麻痺，坐骨神經痛，臂痛，血壓高，小腿脹痛,下曲、上曲皆治療坐骨神經痛、小兒麻痺、血壓高。下曲、上曲倒馬並用效果更好。以三才全息論，從下往上，穴在上臂之尾部，治下焦病有效，治坐骨神經痛。 太極全息觀之手軀順對，對應於鏡部及前後陰部，故可治療坐骨神經痛、小兒麻痺。,,images/圖4-17_上曲穴.jpg,notes/上曲穴.md,122
水愈穴,四四,四四部位,後臂穴位,圖4-18,在上臂之後側，即背面穴後開稍斜下二寸。；自肩後直下，即背面穴向後橫開（稍斜下）二寸是穴。 123；自肩後直下，即背面穴向 後橫開（稍斜下）二寸是穴。穴位置與小腸 圖4-18 水愈穴 經之臑俞相符。,針深三分至五分。 運用：用三稜針扎出黃水者，主治腎臟 之特效針。 用三稜針扎出黑血者，主治手腕手 背痛。 用三稜針扎左邊穴治左臂痛；扎右邊穴 治右臂痛（直接治療）。,腎臟炎，腎結石，腰痛，腿痠，全身無力，小便蛋白質，臂痛，手腕手背痛,水愈穴位置與小腸經之臑俞相符，治療上述各症確有卓效。因系刺血穴位取穴，周遭範圍內取穴，約當肩髎、臑俞至臑會一帶。 穴名水愈，穴在小腸經上，基於手足太陽經相通，又“小腸與脾通”，能去溼，故能治腎炎、腎石、腰痠腰痛、小便蛋白尿等。,,images/圖4-18_水愈穴.jpg,notes/水愈穴.md,123
英穴,四四,四四部位,後臂穴位,,"當後臂肱骨之外側，距肘橫紋四寸五分。；針法：針深三分至五分。；運用：後椎、英兩穴通常同時用針(即所謂回馬針),效迅速而佳。",,同後椎穴,本穴位置在消濼穴下五分，貼骨進針。 基於三焦與腎通，腎主骨，又以骨治骨，故治脊椎病、腎炎、腰痛等有效。,,,notes/英穴.md,
富頂穴,四四,四四部位,後臂穴位,,當後臂肱骨之外側，去首英穴二寸五分，距肘橫紋七寸。；針法：針深三至五分，針淺扎治疲勞、 肝弱，針深扎治頭痛、頭昏及血壓高。,,疲勞，肝弱，血壓高，頭暈，頭痛,上述所治之病:疲勞、肝弱、血壓高、頭暈、頭痛，多屬肝腎虧虛之病。 高血壓、頭暈、血管硬化.皆與肝腎陰虛有關。滋陰補腎為根本療法。,,,notes/富頂穴.md,
天宗穴,四四,四四部位,後臂穴位,,在後臂肱骨內緣與肱二頭肌後部間之陷處，距地宗穴三寸，距肘窩橫紋九寸。；針法：針深一寸至一寸五分。,,婦科陰道癢，陰道痛，赤白帶下（具有速效），小腿痛，小兒麻痺，狐臭，糖尿病,,注意:下針時，偏外傷肱骨，偏裡傷二頭肌，取穴必須準確,images/noref_天宗穴.jpg,notes/天宗穴.md,
雲穴,四四,四四部位,後臂穴位,,在肩尖前約二寸，背面穴向胸方向斜下開二寸。；針法：針深三分至五分。,,婦科陰道炎，陰道癢，陰道痛，赤白帶下，小兒麻痺,【維傑新用】配肩中治小腿無力及脹痛。 依經驗本穴位置應系在肩中前一寸再上一寸之位置。 本穴治婦科病有效，配肩中治小腿無力及脹痛。,,,notes/雲穴.md,
火包穴,五五,五五部位,腿前側穴位,圖5-2,在足第二趾底第二道橫紋正中央。；平臥，當足次趾底第二道橫紋正中央是穴。；在第二足趾腳底第 二道橫紋正中央。,用三樓針扎出黑血立即見效，用毫針針深三至五分。,心痛，肝病，難產，胎衣不下,小腸疝氣，女子乾噦， 經血不調、解酒等症。 定位及取穴：在第二足趾腳底第 二道橫紋正中央。 現代解剖：肌肉：屈趾短肌肌腱 中。血管：足蹠側固有動靜脈形成之 血管網。神經：內蹠神經之趾支。,禁灸，孕婦禁針。,images/圖5-2_火包穴.jpg,notes/火包穴.md,128
上瘤穴,五五,五五部位,腿前側穴位,圖5-3,在足底後前緣正中央。；平臥，當足底後跟硬皮之前緣正中央是穴。；平臥，當足底後跟硬皮之前緣正中央是穴。針深五分以內。,針深五分以內。,腦瘤，腦積水（大頭瘟)，小腦痛，腦神經痛，體弱,鼻塞、鼻衄。本穴配針正筋及然谷點刺出血，治療腦震盪急症。,針深過量（超過五分）會引起心中不安，忌之。 圖5-3 上瘤穴,images/圖5-3_上瘤穴.jpg,notes/上瘤穴.md,131
海豹穴,五五,五五部位,腿前側穴位,圖5-4,在大趾之內側，本節正中央。；當大趾之內側（即右足之左側；左足之右側），大趾本節正中央部（腳 趾甲後）是穴。；海豹穴之位置在隱白之後，大都之前，大指本節中央之黑白肉際。,針深一分至三分。 運用：右手痛取左足穴；左手痛取右足穴。 圖5-4 海豹穴,眼角痛（角膜炎），疝氣，大指及食指痛，婦科陰道炎,“足軀逆對”治眼痛。 “足軀順對”對應陰部，故治疝氣、陰道病。,,images/圖5-4_海豹穴.jpg,notes/海豹穴.md,131
木婦穴,五五,五五部位,腿前側穴位,圖5-5,在足第二趾中節正中央外開三分。；當第二趾第二節正中央向外開三分是穴。；在足第二趾中節向小趾方向外開，貼骨 取穴。,針深二分至四分，貼趾骨下針（用細毫針，粗針痛 苦）。,婦科赤白帶下，月經不調，經痛，子宮炎，輸卵管不通,黃帶、陰癢、尿道炎。 圖5-5 木婦穴 131,,images/圖5-5_木婦穴.jpg,notes/木婦穴.md,131
火硬穴,六六,六六部位,腿後側穴位,圖6-2,在第一蹠骨與第二蹠骨之間，距蹠骨與趾骨關節五分。；當第一蹠骨與第二蹠骨之間，距蹠骨與趾骨關節五 分處是穴。；火硬穴位置在肝經之行間穴後五分。在第 圖 6-2 火硬穴 一蹠骨與第二蹠骨之間，距蹠骨與趾骨關節五分。,針深三分至五分。,心悸、頭暈、子宮炎、強心急救、牙關緊閉、胎衣不下,膝痛、經痛、前陰痛、眼痛、青光眼、失眠、意病、尿瀦留、尿道炎、膀 胱炎、面肌痙攣、鼻衄、帶狀皰疹、咀嚼肌痙攣、青光眼、小腹脹痛、肋間神經痛、多 種婦科病。 135,孕婦禁針、禁灸。,images/圖6-2_火硬穴.jpg,notes/火硬穴.md,135
火主穴,六六,六六部位,腿後側穴位,圖6-3,在火硬穴上一寸。；當第一蹠骨與第二蹠骨連線部之直前陷中取之，即距火硬穴後一寸處 取之。；火主穴位置在肝經太沖穴後之骨陷中手 術：針深一寸至寸半。 楊維傑新火主穴：將火主穴位置定在肝經之太沖穴後之 骨陷中，則本穴與古太沖相符，參見拙著《針灸經穴學》。餘 之火主穴位置則在太沖穴更後之骨緣，貼骨取穴。,針深三分至五分。治手腳痛時，左用右穴，右用左穴。,難產、心臟病、肝病、胃病、子宮炎、神經衰弱、手腳痛,經餘調整之新火主穴，治證甚多，且療效極佳。 1.治膝痛極為有效。治手連肩痛、手腳不利。治行步 艱難。治關節屈伸不利。 2. 治頭痛（前頭痛、偏頭痛、頭頂痛、顱內痛），治血管 圖6-3 火主穴 性頭痛及巔頂痛。治高血壓。頭暈均甚效。 3. 五官病方面，為治喉痛要穴。能治梅核氣。亦治鼻病要穴，治鼻炎、鼻 衄甚佳。治風火牙痛、虛火牙痛。治顏面神經麻痺，口歪眼斜（面癱）效果甚佳。 亦治面肌痙攣、治顳頜關節…,禁灸、孕婦禁針。,images/圖6-3_火主穴.jpg,notes/火主穴.md,136
門金穴,六六,六六部位,腿後側穴位,圖6-4,在第二蹠骨與第三蹠骨連線部之直前陷中。；當第二蹠骨與第三蹠骨連線部之直前陷凹中，與 火主穴並列。；將門金穴位置定在胃經之陷谷穴後之骨 圖6-4 門金穴 陷中，則本穴與古陷谷相符。 手術：針深一寸至寸半。 楊維傑新門金穴：門金穴位置在胃經之陷谷穴後骨前陷中。（據《針灸大 成》指出陷谷穴在內庭後二寸，並且有些書指陷谷在第二、三蹠骨結合處，則本 穴與陷谷相符，參看拙著《針灸經穴學》236 頁之取穴）。餘之門金穴位置則在陷 谷穴更後之骨緣，貼骨取穴。,用細毫針，針深五分（具有特效）。,腸炎，胃炎，腹部發脹及腹痛，盲腸炎,經餘調整之新門金穴，治證甚多，且療效極佳。 不論何種腹瀉，針之皆有特效。腹脹（配靈骨尚可治腹痛）極效。治胃痛亦 甚效。治乳痛特效。治月經疼痛亦極特效。治太陽穴之偏頭痛甚效。治鼻塞及 鼻痛、鼻炎。治療眼肌下垂（上眼皮下垂無力）無力睜開。治療肌無力效果亦頗 佳。治顳頜關節紊亂症、咀嚼肌痙攣、張口難開、彈響甚效。治耳聾、耳鳴、齒痛、 目赤痛。亦治頸腫大。治三叉神經疼痛。高熱無汗，熱不下降。治癲疾發狂、妄…,禁雙腳同時取穴。,images/圖6-4_門金穴.jpg,notes/門金穴.md,130
木斗穴,六六,六六部位,腿後側穴位,圖6-5,在第三蹠骨與第四蹠骨之間，距蹠骨與趾骨關節五分。；當第三蹠骨與第四蹠骨之間，距蹠骨與趾骨關節五分處是穴。；木留穴與門金穴平行，木鬥穴在木 留穴前一寸。均位於足部第三趾與第四趾之間。針 深五分至一寸。,針深三分至五分。,脾腫大（硬塊），消化不良，肝病，疲勞，膽病，小兒麻痺,亦常用治慢性肝炎、肝硬化。,,images/圖6-5_木斗穴.jpg,notes/木斗穴.md,140
木留穴,六六,六六部位,腿後側穴位,圖6-6,在第三蹠骨與第四蹠骨連線部之直前陷凹中，蹠骨與趾骨關節一寸五分。；當第三蹠骨與第四蹠骨連線部之直前陷凹 中，距木鬥穴後一寸處是穴。；木留穴與門金穴平行，木鬥穴在木 留穴前一寸。均位於足部第三趾與第四趾之間。針 深一寸至一寸半。,針深三分至五分。,白血球症，脾腫大，消化不良，肝病，疲勞，膽病，小兒麻痺,治全身麻木亦甚效。治療中指、無名指疼痛及伸屈不靈，還可治療 落枕及肩背痛。木留穴配三重穴可治三叉神經痛，又治耳痛、舌強言語困難等症。,,images/圖6-6_木留穴.jpg,notes/木留穴.md,143
